strata, dec
1,-2.034306609619482564e-01
1,1.423614322278716482e-01
1,-5.045145383482928930e-02
1,4.909774205149027015e-02
1,-4.720458621188489828e-02
1,-3.295017977874687559e-02
1,-3.516418173794202268e-02
1,1.685922610766882324e-01
1,2.918973515406339536e-02
1,-1.400495912148399247e-01
1,2.463142973141589642e-02
1,3.974626339906201650e-02
1,-1.729233942469729848e-02
1,-3.689402229792952681e-02
1,3.485541172497065636e-05
1,-1.916813076226953350e-01
1,2.065914215940911278e-02
1,-5.416107184467773561e-02
1,-7.072837239532141218e-02
1,-1.420745721989346601e-02
1,7.619021668098940880e-02
1,-9.241992017447023949e-03
1,1.359174658536221048e-01
1,-1.654268860695176369e-01
1,1.182859514127386213e-01
1,1.526040912751989997e-01
1,2.927072101389414840e-03
1,1.248243128316653128e-01
1,-3.375170619800949012e-02
1,8.661890602500038616e-02
1,5.586894442379411463e-02
1,-1.524533985268623215e-01
2,-2.508679722146574864e+00
2,3.382658821763158130e-01
2,9.130648083712181728e-01
2,1.877335958279058581e-01
2,7.057420052624552298e-01
2,1.186656245487135664e+00
2,-1.081756457982892883e+00
2,-1.351687169275537781e-01
2,1.091257616349938120e+00
2,1.569974725121597858e+00
3,-1.589672739110395749e+00
3,-1.360365199866905739e+00
3,-1.439824612831111184e+00
3,-2.244004197619764884e+00
2,-2.339411627420940332e-01
2,-3.198154442536123576e-01
2,8.090408901311839651e-01
2,-4.369501527286302478e-01
3,-1.292163131805535103e+00
3,-4.923845360440206043e-01
3,-1.949150163966209659e+00
3,3.418730942736193934e-01
2,1.210229109310172468e+00
2,8.651517948740279351e-01
2,2.285307079154468290e+00
2,8.391883651931595356e-01
2,2.416344985074904361e+00
2,1.574519736577716378e+00
2,4.675936682100267916e-01
2,-2.090248115580322086e+00
2,-1.672645969154348933e+00
2,2.047009058374866353e+00
