State,South,Region,Division,UER23,PR23,PNH,PH,SCR,PC
0,0,1,3,1.9,8.6,7.919973545,33.87896825,33.38293651,24.81812169
1,0,3,8,6.4,11.3,7.185800172,29.34440309,41.19667907,22.27311766
2,0,3,7,3.3,18.0,12.34003656,23.85740402,55.48446069,8.31809872
0,0,1,3,2.1,10.8,6.51269298,20.52446261,31.88831162,41.07453279
0,0,1,3,2.0,10.8,7.858990944,29.56015524,35.93143596,26.64941785
3,0,1,3,1.8,9.7,6.941889569,25.41916709,33.07348994,34.56545339
4,1,2,6,3.7,20.0,23.24621733,24.9656121,28.88583219,22.90233838
5,0,3,8,4.7,12.6,8.608058608,33.88278388,33.1043956,24.4047619
6,1,2,5,5.2,23.6,20.75098814,38.67436911,24.06506537,16.50957738
7,0,1,2,2.9,10.6,5.093187036,35.72039998,29.45410684,29.73230614
4,1,2,6,4.9,19.3,24.87983176,33.30162227,26.18666133,15.63188464
8,1,2,5,2.4,16.9,17.24339604,37.01140462,30.50979628,15.23540306
4,1,2,6,3.3,10.5,5.973622964,34.36772692,38.24670287,21.41194725
7,0,1,2,3.7,14.1,7.607074989,40.74111972,31.71758515,19.93422014
9,1,2,4,4.9,19.1,14.438103,40.41309961,27.30669928,17.84209811
10,0,1,2,2.6,9.4,6.64058278,33.13806446,33.72819438,26.49315838
11,1,2,6,4.1,17.7,13.99343545,37.34135667,33.28227571,15.38293217
12,0,3,8,4.4,13.0,7.074468085,25.05319149,30.93971631,36.93262411
13,0,0,1,4.1,10.4,4.919807865,36.34942604,30.43556134,28.29520475
14,1,2,5,3.7,20.1,10.42577881,45.82701062,30.75069178,12.99651879
15,0,1,3,3.1,16.3,9.945174041,43.75239067,30.17340303,16.12903226
16,0,3,7,3.5,20.6,11.73913043,26.30434783,31.24505929,30.71146245
17,1,2,4,3.0,8.4,9.613351588,18.03781564,24.34793158,48.0009012
18,0,3,7,2.4,7.6,4.494382022,19.78776529,51.24843945,24.46941323
19,1,2,6,3.8,23.1,17.16365344,45.17492369,25.85896533,11.80245754
7,0,1,2,3.4,10.1,6.138797937,31.57146833,31.76212158,30.52761216
20,1,2,4,2.9,10.4,5.784836541,28.52422907,34.54671922,31.14421516
20,1,2,4,2.8,23.8,4.334205514,23.75536213,23.51506737,48.39536498
21,1,2,5,3.2,12.9,8.86683494,23.34748356,30.82071287,36.96496864
2,0,3,7,4.0,19.4,12.70807152,29.02308354,36.67350133,21.59534361
2,0,3,7,4.9,18.6,2.410832232,36.39365918,40.52179657,20.67371202
8,1,2,5,3.3,23.5,14.38292607,34.43396226,30.76863594,20.41447572
22,0,3,7,2.9,7.0,5.356880059,31.16261957,39.3598234,24.12067697
15,0,1,3,3.0,15.5,13.94511362,40.43213709,27.66670806,17.95604123
4,1,2,6,3.3,14.6,17.52799311,31.53172552,34.04392765,16.89635372
20,1,2,4,2.5,5.8,2.831798021,27.51051973,29.59172069,40.06596156
23,1,2,4,4.5,19.2,16.16127957,48.73375541,19.31022992,15.79473509
4,1,2,6,3.7,11.7,7.221063608,36.3008342,32.62513034,23.85297185
20,1,2,4,2.8,7.2,4.768223186,18.91979246,26.12741346,50.18457089
0,0,1,3,1.8,11.2,9.216589862,30.05266623,39.38446346,21.34628045
0,0,1,3,1.8,8.3,7.943006878,27.66131674,37.65149034,26.74418605
24,1,2,6,3.4,17.6,10.60566806,34.39915368,30.2898801,24.70529816
24,1,2,6,4.2,18.3,13.61185984,43.67924528,26.74528302,15.96361186
19,1,2,6,3.7,22.3,15.52043234,38.28842168,31.04086467,15.15028131
8,1,2,5,2.3,21.6,21.05480357,33.64765599,31.41713437,13.88040607
25,0,0,1,4.0,14.2,8.207444559,34.93262433,30.83872137,26.02120974
13,0,0,1,5.2,24.8,14.35776732,51.58036315,21.95696032,12.10490921
24,1,2,6,4.3,19.0,16.13005229,34.95804583,26.68353115,22.22837073
20,1,2,4,2.9,5.3,7.189542484,21.47594636,28.02637549,43.30813566
26,0,1,2,4.0,14.8,7.608881785,40.17352589,34.22569781,17.99189451
